ph,Solids,Chloramines,Sulfate,Trihalomethanes,Turbidity,Potability
7.65,162.58,2.47,315.74,76.46,5.84,1
6.9,880.93,0.53,89.67,39.88,1.99,1
6.5,277.37,1.45,453.28,25.8,2.35,1
7.02,0.0,3.01,0.0,51.75,3.35,1
7.98,333.21,2.33,503.72,39.66,4.54,1
7.06,701.16,1.02,308.67,70.09,0.71,1
8.37,538.57,0.0,415.7,32.7,4.11,1
7.84,945.94,2.5,377.01,17.87,2.24,1
7.71,693.73,0.66,220.12,27.04,2.23,1
7.96,767.16,2.43,242.3,21.51,5.02,1
7.93,940.26,2.13,166.86,17.78,0.0,1
6.99,449.76,1.17,121.03,51.37,0.89,0
6.96,157.39,2.66,66.52,36.1,3.3,1
7.27,892.19,1.79,104.11,101.93,3.85,1
7.5,194.85,2.48,336.14,12.04,0.69,1
6.54,698.31,2.86,363.7,79.12,3.88,1
7.43,431.77,1.97,293.21,18.06,1.14,1
7.81,790.1,2.54,216.82,59.85,0.63,1
6.74,31.25,1.18,490.57,83.36,1.62,1
6.69,543.61,2.09,436.41,73.47,0.0,1
6.96,275.56,2.6,189.04,83.66,2.48,1
6.74,923.74,1.47,210.38,62.7,1.32,1
8.51,632.84,2.35,438.88,26.43,2.23,1
6.6,858.41,1.9,130.98,79.69,3.74,1
6.93,317.59,2.11,273.4,61.59,1.91,1
6.91,223.62,3.06,381.55,7.45,0.85,1
7.32,666.95,1.6,233.91,18.54,3.92,0
6.48,701.78,2.72,237.36,104.11,2.28,1
7.55,660.87,2.98,296.91,60.32,5.0,1
6.92,989.02,1.96,155.81,78.64,2.04,0
7.08,589.67,0.21,509.05,18.3,3.58,1
7.78,99.28,0.0,314.6,79.27,1.65,1
6.98,777.98,1.72,216.53,37.38,6.19,1
7.96,176.3,0.99,350.44,18.21,1.5,1
7.51,463.24,2.52,241.49,41.2,5.53,1
7.39,478.58,1.25,475.23,21.61,1.92,1
7.82,433.68,2.0,226.2,8.03,3.88,1
7.01,973.42,0.74,236.88,88.96,3.52,1
8.32,868.59,1.55,157.88,97.19,3.51,1
7.78,381.35,2.59,186.47,14.9,0.74,1
7.92,1003.41,2.17,169.0,61.94,5.82,0
6.3,863.72,1.31,270.3,106.48,2.41,1
7.57,797.21,1.08,517.96,33.74,0.0,0
7.57,450.64,1.83,327.17,47.01,3.68,0
8.29,726.79,0.94,161.88,21.51,0.01,1
6.86,424.21,1.38,57.57,32.24,3.29,1
8.46,69.56,3.24,484.31,27.93,4.17,1
8.62,222.16,2.67,146.59,98.53,1.71,1
7.05,729.66,0.41,443.56,7.1,1.54,1
7.11,135.84,2.21,420.43,1.81,1.32,1
6.51,304.82,1.98,493.55,101.91,3.64,1
7.91,214.95,1.19,278.46,23.18,4.02,1
8.19,321.98,2.42,445.86,57.36,4.75,1
8.57,32.78,1.98,218.3,67.7,1.65,1
7.8,0.0,2.68,433.19,31.84,1.68,1
7.85,557.48,0.2,383.68,93.02,3.14,1
8.06,409.69,3.36,80.87,40.89,5.03,1
7.49,411.1,2.8,411.57,20.84,3.6,1
8.39,952.38,1.33,118.55,16.27,3.09,1
7.87,418.37,2.32,446.9,71.56,0.0,1
7.29,922.97,0.13,0.0,30.08,3.74,0
7.74,797.02,1.58,350.1,84.55,3.98,1
6.62,1003.94,2.52,65.66,46.01,1.94,1
7.89,186.46,2.2,395.84,89.11,4.33,1
7.96,360.4,2.62,175.7,15.47,3.57,1
7.14,927.92,0.84,489.91,84.42,4.95,1
7.87,531.83,0.02,180.48,104.11,2.39,1
8.13,985.57,2.34,466.47,63.27,2.17,1
7.16,156.19,0.0,476.47,15.67,0.34,0
6.71,60.63,0.28,66.21,111.88,1.36,1
6.42,840.12,0.65,348.06,91.23,3.1,1
6.8,478.47,2.86,0.0,17.88,2.24,1
6.99,597.33,1.82,339.74,98.47,4.81,1
7.23,931.94,2.49,389.8,5.43,0.21,1
7.91,403.44,2.05,142.49,12.24,3.55,1
6.99,809.28,2.68,456.98,2.17,1.82,1
8.48,368.89,2.77,212.4,71.41,4.96,1
7.94,414.69,2.74,156.23,46.45,2.25,1
8.09,187.38,0.71,454.99,23.45,0.37,1
7.31,353.78,0.97,191.5,64.75,1.79,1
6.66,602.45,2.23,104.11,75.68,1.7,1
7.52,936.03,2.54,198.63,12.73,0.68,1
6.97,0.0,2.14,498.59,59.69,4.9,1
6.89,117.75,1.82,410.62,1.35,4.45,1
8.24,46.33,1.18,240.18,40.69,3.97,1
8.21,466.94,0.38,316.73,29.66,0.62,1
7.15,761.51,2.27,248.79,44.46,4.68,0
7.1,427.38,2.44,407.91,2.6,4.51,1
8.44,499.33,0.88,14.45,56.25,4.08,1
7.2,601.49,0.0,453.63,44.37,4.07,0
7.79,0.0,0.0,516.64,61.93,0.42,1
6.75,248.27,0.76,192.79,20.62,0.88,1
8.31,990.68,0.51,245.0,97.51,2.28,1
7.13,401.38,0.74,531.31,0.0,0.86,1
7.5,896.34,0.0,224.08,14.8,0.35,1
6.56,354.54,0.44,282.55,97.45,4.84,1
7.64,86.32,0.63,451.48,20.09,1.95,1
8.46,0.0,0.2,185.06,25.52,2.58,1
6.66,367.57,0.52,285.11,57.03,0.79,1
7.34,402.51,1.51,137.7,66.24,5.01,1
7.84,370.84,2.94,330.52,87.46,3.4,1
7.68,537.43,2.56,216.21,40.7,1.26,1
7.09,427.8,0.97,410.25,50.2,1.89,0
7.92,571.53,1.0,333.18,0.0,3.37,1
7.62,0.0,0.94,500.94,85.24,0.8,1
7.92,340.05,2.21,349.1,64.62,0.0,1
6.91,1019.77,1.42,391.27,85.3,0.64,1
8.09,0.0,2.16,199.98,24.16,0.26,1
7.64,762.47,2.51,369.86,59.99,3.66,1
7.68,365.21,2.18,139.49,77.95,3.04,1
7.47,695.12,2.81,325.61,13.13,2.85,1
8.05,437.09,0.04,345.03,94.51,1.1,1
8.0,776.93,0.74,65.88,65.14,3.54,1
7.17,583.08,0.11,358.29,81.65,2.26,1
6.76,913.9,1.61,518.75,13.06,0.43,1
8.38,222.85,1.86,24.59,84.34,2.0,1
8.15,188.33,0.88,214.48,53.55,3.37,1
6.73,0.0,0.21,420.7,13.67,2.84,1
7.79,796.54,1.28,248.35,30.36,1.49,1
7.1,345.69,0.05,13.06,84.18,2.5,1
7.3,0.0,0.86,195.82,24.94,0.88,1
8.36,746.66,1.34,274.0,28.82,2.23,1
7.45,950.03,2.57,454.33,40.13,0.35,1
6.9,538.33,1.25,393.27,63.75,4.73,1
7.12,92.24,2.25,404.4,14.84,4.34,1
6.58,269.43,1.16,235.57,26.69,2.4,1
7.12,122.12,0.69,490.88,60.16,5.08,1
6.91,57.33,0.09,459.42,87.74,4.11,1
6.76,1023.65,0.4,21.86,60.51,3.43,1
6.87,490.39,2.8,383.06,97.87,3.09,1
7.88,157.63,1.06,463.46,27.54,2.69,1
7.33,824.2,0.78,264.02,26.79,4.9,1
7.99,1016.67,2.62,466.83,36.18,4.02,1
8.39,663.91,2.48,115.31,54.19,1.77,1
7.36,250.6,0.92,318.71,10.66,0.46,1
7.62,334.61,0.7,302.4,65.95,6.05,1
7.31,653.71,0.86,93.64,32.1,3.59,1
6.67,532.81,0.73,428.11,28.49,3.31,1
6.84,840.38,1.31,213.98,66.7,2.07,1
8.1,1100.93,0.7,273.4,85.18,4.29,1
7.12,1085.25,2.72,434.0,20.64,0.16,1
7.82,187.98,0.61,326.95,64.35,0.97,1
6.76,538.61,2.33,0.0,43.77,2.02,0
7.54,143.64,0.68,67.46,88.1,3.45,1
8.2,637.06,1.35,456.37,44.77,4.09,1
8.27,0.0,0.06,293.69,5.67,3.82,1
6.63,172.08,2.64,128.85,65.39,2.47,1
7.47,88.1,2.77,117.09,16.45,1.3,1
7.34,536.01,0.16,224.55,29.68,0.12,1
7.84,348.97,1.24,190.73,43.72,1.08,1
6.58,687.26,0.99,463.65,0.0,1.6,1
6.83,38.78,1.43,125.21,76.46,2.13,1
8.36,213.46,1.2,354.03,67.08,2.24,1
7.43,720.3,2.35,391.17,76.16,5.18,1
7.26,559.88,0.98,248.72,55.98,4.58,1
8.37,727.99,1.97,359.16,56.72,3.73,1
7.1,581.48,0.85,262.25,51.21,0.57,1
6.72,582.85,1.52,202.38,58.49,1.17,0
6.96,418.54,1.21,318.59,81.47,0.2,1
6.6,603.99,1.9,129.73,27.93,3.05,1
6.58,8.98,1.92,0.0,8.39,2.66,1
8.15,109.69,2.28,502.53,26.22,3.84,1
8.6,790.21,0.22,444.02,11.45,1.0,1
7.64,268.86,0.25,227.69,39.68,4.46,1
7.93,502.73,2.97,17.81,66.39,2.41,1
7.56,144.17,0.98,309.54,74.5,2.73,0
7.59,508.1,0.97,430.4,37.39,2.49,1
7.93,626.61,1.08,175.8,5.08,3.13,1
7.92,462.56,2.04,201.46,36.44,1.71,1
8.21,514.29,3.29,362.2,49.29,0.43,1
7.73,335.66,1.38,26.06,0.0,0.11,1
6.8,898.58,1.2,217.64,54.03,2.87,1
8.05,631.22,0.85,175.28,88.11,3.68,1
7.82,309.37,0.0,272.71,12.35,2.04,1
6.94,813.77,0.0,210.59,44.42,4.36,1
7.88,745.22,0.09,268.58,9.75,3.93,1
7.72,899.14,0.95,403.05,63.52,2.76,1
6.9,589.73,3.19,429.27,69.52,2.16,1
7.55,755.47,0.08,438.04,3.04,0.39,1
8.06,429.51,2.63,404.29,64.37,2.38,1
7.45,790.48,0.62,281.49,32.44,0.68,1
6.97,883.75,0.53,177.63,12.67,0.21,1
6.9,0.0,2.82,439.94,65.65,0.9,1
7.65,361.79,0.0,34.37,47.23,0.66,1
7.72,545.07,0.36,252.12,97.34,3.38,1
7.55,109.29,2.89,353.18,106.71,2.07,1
6.59,667.61,0.03,95.47,96.46,2.33,1
8.07,694.42,0.86,122.95,44.69,1.27,1
7.89,716.42,2.55,329.23,97.43,4.78,1
6.94,241.93,0.47,473.97,0.97,0.77,1
7.05,507.47,2.56,196.97,72.11,1.89,1
7.07,997.68,0.38,200.11,42.29,1.44,1
8.6,291.48,1.77,370.78,90.12,1.62,1
8.32,752.37,0.77,318.83,0.0,1.28,0
6.23,497.66,0.82,272.96,57.18,3.7,1
6.98,294.77,3.0,277.35,0.0,4.07,1
6.64,219.15,3.77,320.3,24.66,2.5,1
7.34,261.95,0.66,419.76,69.48,4.27,1
8.36,447.24,2.35,261.23,5.4,0.61,1
6.24,269.64,0.44,330.04,63.47,2.62,1
6.91,903.48,0.7,147.86,57.27,4.53,1
7.17,912.21,0.33,103.92,23.74,1.47,1
7.61,81.99,2.41,498.77,55.91,4.92,1
7.97,45.34,2.24,129.86,31.12,2.37,1
7.32,0.0,2.51,307.13,3.86,1.73,1
6.77,830.0,2.25,498.54,67.77,4.55,1
7.1,167.95,1.96,204.1,64.03,4.26,1
8.34,516.77,0.07,343.59,85.89,0.79,1
7.66,400.06,0.23,123.89,91.62,2.9,1
6.72,223.34,1.5,381.67,45.78,3.76,1
8.49,228.82,2.87,386.12,83.01,2.38,1
7.52,739.7,1.03,390.71,62.34,4.75,1
8.32,62.48,1.52,404.82,20.38,0.95,1
6.67,982.03,2.67,281.74,73.93,4.79,1
8.1,523.76,2.61,206.04,13.56,2.82,1
7.11,209.16,1.86,103.17,43.65,2.84,1
7.4,180.19,1.47,47.55,75.0,3.24,1
7.81,839.77,0.89,376.71,64.58,1.29,1
7.46,720.38,2.56,39.71,20.14,1.33,0
6.85,221.83,1.1,460.88,109.36,1.19,1
6.69,297.02,1.91,151.1,3.03,4.04,1
7.05,388.97,0.48,388.64,53.75,1.92,1
6.38,907.76,3.56,219.22,14.18,0.23,1
6.86,556.1,0.67,314.77,106.9,4.0,1
7.22,1066.21,2.35,434.53,97.91,2.17,0
7.42,453.93,2.97,192.18,80.68,4.41,1
7.16,661.66,1.18,480.22,67.33,2.51,1
7.78,529.9,2.94,375.55,76.61,2.96,1
7.2,606.45,1.51,301.97,64.86,3.36,1
6.35,473.0,1.79,392.17,82.01,1.9,1
7.12,672.51,0.67,195.43,86.96,4.43,1
8.19,183.93,0.91,572.85,34.02,3.84,1
7.06,420.04,0.36,241.11,66.78,3.88,0
7.33,717.06,1.22,104.76,5.24,3.41,1
8.32,523.66,1.62,214.93,30.87,0.72,1
7.17,801.87,2.29,497.02,46.95,0.48,1
8.29,1084.89,2.13,432.94,71.3,1.54,1
8.24,616.39,0.63,259.22,56.92,3.12,1
7.42,222.67,0.52,115.68,101.37,4.4,1
7.58,810.18,2.14,437.76,82.81,2.3,1
6.88,771.32,3.1,290.07,6.23,2.1,1
6.67,293.45,0.84,417.88,4.0,0.99,1
7.51,776.05,1.24,441.46,0.06,1.23,1
7.82,547.01,0.0,368.62,72.67,1.56,1
8.65,125.61,2.77,496.28,37.36,2.13,1
6.48,275.79,0.0,355.48,92.52,2.76,1
8.07,24.59,2.57,478.86,31.87,4.63,1
7.39,586.88,1.93,203.28,110.03,2.28,1
6.63,918.29,0.89,151.79,68.39,4.75,1
8.56,0.0,1.85,340.49,80.67,0.93,1
7.71,0.0,1.94,390.46,46.67,1.43,1
6.34,831.73,2.13,296.25,92.98,4.58,1
8.24,548.66,1.23,20.62,14.94,1.66,1
6.41,350.63,2.72,38.0,85.92,0.62,1
6.56,960.51,1.35,470.1,90.28,2.17,1
7.23,1034.48,2.49,130.43,58.96,2.82,1
8.44,1041.9,1.62,0.0,76.87,5.24,1
6.89,814.32,1.13,424.62,16.23,0.45,1
8.3,24.92,3.2,521.89,45.35,0.5,1
7.41,61.0,0.87,379.56,62.51,4.31,1
6.48,532.76,2.81,433.58,32.11,3.12,1
7.46,1025.63,3.33,475.48,7.64,1.26,1
7.18,93.37,2.61,350.41,93.44,2.09,1
7.72,697.65,1.54,329.96,73.39,1.79,1
7.84,360.59,1.35,394.71,43.73,2.87,1
7.46,163.89,2.57,123.12,54.69,5.01,1
8.63,232.8,1.3,115.21,68.5,1.3,1
6.79,296.31,2.59,336.02,109.19,4.06,1
8.2,274.49,2.65,258.01,53.16,2.2,0
7.34,107.91,2.4,433.75,65.85,2.19,1
8.2,469.22,1.1,308.93,76.54,1.26,1
8.29,593.34,2.19,217.13,4.74,0.63,1
8.73,643.84,0.66,16.39,39.71,0.87,1
7.11,708.67,0.1,0.0,109.4,1.61,1
7.49,921.27,0.46,149.55,86.97,2.39,1
8.47,217.58,2.62,382.08,115.26,3.12,1
8.1,1021.41,1.18,456.64,11.78,3.76,1
7.22,131.37,2.7,72.43,84.12,1.89,0
8.33,573.08,0.0,130.29,31.44,3.99,1
7.35,845.83,0.95,329.26,87.51,1.47,1
6.98,359.05,2.7,98.6,88.54,1.41,1
8.34,519.26,1.31,0.0,38.39,0.0,1
7.46,619.08,0.55,449.66,57.94,4.65,0
7.16,63.81,1.96,42.21,49.32,2.11,1
6.93,746.07,0.7,159.61,73.18,3.26,1
7.31,71.41,2.88,370.98,49.24,2.95,1
6.76,207.44,1.18,441.65,1.68,3.1,1
6.48,512.7,2.2,516.98,70.23,1.09,1
8.03,895.02,1.88,290.47,8.62,3.78,1
7.5,1062.05,2.81,174.7,22.16,3.15,0
7.95,315.59,1.27,7.27,55.95,1.04,1
7.96,145.13,2.48,323.28,45.13,0.49,1
6.95,446.82,1.03,205.48,23.84,2.22,1
7.17,508.45,1.73,169.07,32.95,3.67,1
7.57,207.51,1.94,82.22,16.01,1.31,1
6.91,732.46,1.24,97.38,35.66,0.84,1
7.93,682.71,1.92,108.65,56.51,4.81,1
7.08,475.65,2.25,272.15,5.52,2.74,1
7.31,635.21,0.41,217.23,7.84,0.72,1
7.54,513.6,0.0,387.04,33.7,4.38,1
6.77,595.02,2.24,279.26,87.09,0.22,1
6.7,1106.42,1.52,349.79,99.9,3.99,1
7.69,1019.18,1.9,215.45,92.43,4.43,0
7.82,1097.9,1.14,85.1,11.52,0.1,1
6.99,863.45,2.23,426.1,103.36,4.88,1
7.35,200.64,0.68,312.02,69.4,4.89,1
6.28,528.92,3.18,452.86,94.19,0.43,1
7.23,901.79,0.28,172.14,76.23,4.0,1
7.69,530.63,2.09,540.14,28.23,2.28,1
6.97,583.21,2.89,456.02,38.03,0.76,1
6.85,80.93,0.2,168.38,55.23,0.87,1
7.63,198.16,2.64,130.2,2.69,1.39,1
7.84,48.15,0.9,80.39,45.33,3.17,0
6.92,0.0,0.34,0.0,21.38,3.03,1
7.89,425.82,0.8,89.35,93.65,5.5,1
6.48,293.34,1.57,180.69,68.41,2.21,1
8.57,803.47,0.05,226.76,72.95,1.71,1
6.78,432.26,2.78,227.7,0.0,2.59,1
6.78,509.01,0.0,89.21,75.96,1.73,1
6.74,760.22,1.05,22.43,80.33,3.11,1
8.77,701.89,1.49,0.0,65.97,4.02,1
7.11,225.64,1.05,29.99,22.16,3.6,1
7.94,264.26,0.84,102.43,56.72,0.36,1
8.38,512.62,0.23,332.85,72.61,1.73,1
8.59,346.58,1.12,59.83,42.37,3.68,1
6.46,232.29,0.56,461.6,42.26,3.56,1
7.51,585.21,2.21,554.42,70.57,4.37,1
8.2,506.44,1.07,353.03,90.35,2.26,1
8.05,215.81,2.07,11.88,43.27,2.88,1
7.07,666.68,1.59,38.07,79.37,0.49,1
7.14,711.68,0.81,137.15,0.77,2.78,1
6.58,162.12,0.19,364.02,52.54,1.82,1
6.81,332.61,0.91,455.82,34.22,2.52,0
7.5,228.93,2.69,377.72,62.81,3.22,1
6.3,862.88,1.3,415.84,33.96,0.8,1
6.84,139.81,0.92,23.88,17.02,0.28,1
7.17,307.1,0.83,178.68,10.35,2.45,1
6.66,487.36,2.52,161.5,110.3,2.77,1
6.82,671.22,2.35,27.12,41.42,5.15,1
8.41,752.78,2.21,316.77,91.07,2.94,1
7.53,173.27,2.85,186.93,68.58,0.63,1
6.69,938.21,1.13,522.51,90.45,0.51,1
8.09,693.47,2.46,0.0,50.87,4.72,1
6.94,194.74,0.19,179.7,100.91,3.99,1
7.14,958.57,2.03,100.86,55.38,0.7,1
8.47,377.3,0.81,152.22,28.0,2.17,1
8.33,864.95,2.85,221.14,7.06,1.79,1
8.13,45.71,0.64,148.3,10.97,3.24,1
6.5,499.78,1.25,432.52,16.63,3.4,1
7.12,590.65,2.43,144.88,72.7,4.54,1
6.65,973.19,2.4,205.71,35.0,2.39,1
7.09,528.06,0.8,118.04,105.46,1.49,1
6.46,457.81,0.42,106.76,13.8,5.1,1
6.81,0.0,0.11,110.61,95.21,2.22,1
7.71,407.52,1.64,306.63,22.06,3.65,1
6.72,393.83,2.52,128.59,17.57,1.8,1
6.78,1087.64,0.48,195.07,23.49,0.96,1
8.08,742.81,1.28,171.73,33.62,4.01,1
7.17,392.95,0.55,21.53,48.87,1.49,1
7.35,367.76,2.87,457.32,82.32,4.03,1
6.48,943.72,0.0,0.0,0.0,3.16,1
8.04,35.4,0.45,172.38,22.59,4.92,1
7.98,847.65,2.44,539.68,8.69,3.14,1
7.38,827.78,2.67,69.41,84.2,2.87,1
7.78,470.45,2.38,0.0,24.41,1.68,1
6.49,506.27,0.32,176.71,56.17,0.01,1
7.25,435.91,1.08,366.04,96.74,1.8,1
8.13,105.29,1.27,148.26,48.48,4.98,1
8.8,406.21,2.49,176.19,0.0,3.03,1
8.09,157.42,1.98,414.08,37.12,3.92,1
7.93,134.98,0.36,285.44,90.4,1.35,1
7.56,413.18,1.49,201.33,15.17,0.34,1
6.55,914.45,2.44,267.21,89.07,3.97,1
8.59,248.0,1.59,400.21,3.28,2.47,1
6.37,511.83,1.89,223.16,8.69,4.29,1
6.97,1009.07,3.5,223.84,82.09,0.99,1
7.88,852.93,2.37,244.45,62.98,1.42,1
8.4,868.07,2.87,246.43,40.0,3.2,1
8.11,629.38,1.84,52.7,67.24,5.06,1
7.27,592.0,0.97,477.32,36.38,0.56,1
6.91,486.84,0.36,0.0,86.3,4.77,1
6.72,475.74,0.47,282.46,78.24,3.4,1
8.21,595.6,1.58,173.27,87.92,1.05,1
8.56,337.3,1.9,380.6,65.73,0.57,1
6.89,237.05,2.54,268.66,68.75,4.87,1
7.8,52.74,2.24,419.78,73.86,3.19,1
7.49,372.1,1.14,335.47,49.79,2.49,1
7.26,772.4,1.37,156.53,13.58,2.5,1
7.54,559.64,0.0,414.25,72.94,0.99,0
6.53,84.33,1.18,389.29,43.36,2.68,1
7.6,907.59,2.91,290.31,69.83,3.42,1
6.81,0.0,2.33,498.52,110.41,1.65,1
7.78,1034.69,1.36,386.93,50.59,5.4,1
7.47,460.27,0.64,460.28,79.94,3.63,1
8.48,450.4,2.76,129.01,50.14,0.12,1
8.01,512.41,2.94,547.06,0.0,1.04,0
7.37,810.39,2.85,343.91,3.39,4.41,1
6.93,0.0,0.91,363.55,0.0,3.35,1
8.16,54.42,1.45,215.8,20.9,3.62,1
7.76,416.24,1.27,314.3,12.72,0.02,1
6.67,305.46,2.71,435.18,36.47,4.37,1
6.33,180.63,0.4,313.88,80.23,3.81,1
8.41,491.82,1.7,281.57,78.55,0.58,1
7.85,0.0,0.92,121.54,79.12,4.06,1
6.85,1037.04,0.21,411.98,72.01,1.25,1
7.43,765.54,0.37,311.62,91.35,4.16,1
7.59,14.34,2.4,51.63,62.15,0.6,1
7.51,899.76,2.04,99.03,42.26,1.26,1
8.27,474.17,1.51,258.87,62.81,3.57,1
8.47,481.67,1.58,110.02,0.0,2.83,1
6.74,500.0,1.11,211.41,0.0,4.5,1
6.69,1145.27,1.51,339.73,72.9,4.33,1
7.21,110.53,1.89,40.15,27.57,3.29,0
8.18,931.49,0.1,74.08,84.72,1.75,1
7.76,402.59,1.72,443.25,28.53,1.78,1
7.85,92.52,3.4,0.0,0.0,1.64,1
7.56,509.46,0.17,102.13,94.07,1.21,1
7.14,356.56,2.57,363.03,78.5,0.68,0
8.18,1074.48,0.0,325.86,107.86,1.22,0
6.71,504.86,0.97,145.12,54.24,3.86,1
8.14,0.0,3.2,406.63,102.09,3.37,1
7.01,799.6,3.36,42.15,63.9,2.19,1
7.89,461.46,0.53,76.98,33.33,1.33,1
8.28,791.08,2.02,399.43,25.48,1.77,1
7.74,204.14,2.34,344.18,47.71,0.0,1
6.55,838.8,1.08,81.33,75.42,1.53,1
7.73,1009.17,2.79,227.63,84.65,1.88,1
8.16,8.73,1.98,32.24,79.13,4.2,1
6.22,402.24,0.77,88.78,43.93,3.41,1
6.82,173.19,1.42,340.33,47.04,1.4,1
6.67,469.82,2.22,401.42,44.7,1.79,1
7.74,212.93,1.73,165.37,81.41,0.0,1
7.41,983.15,1.44,45.35,46.46,0.59,1
7.5,190.73,2.18,36.47,11.52,0.0,0
7.18,729.52,0.25,191.16,47.34,3.16,1
7.94,710.38,0.26,279.03,74.26,3.51,1
6.83,293.94,0.17,369.93,97.47,1.49,1
8.52,304.77,1.79,405.88,94.19,4.84,1
7.97,892.6,1.26,446.99,67.35,0.72,1
7.62,102.38,2.44,346.23,64.79,2.37,1
7.22,159.84,3.43,318.03,79.2,4.62,1
8.41,337.59,0.37,299.12,75.42,0.81,1
7.03,626.2,0.98,365.82,70.35,1.7,1
7.93,290.97,1.19,352.19,101.14,2.85,1
7.14,70.82,1.85,403.71,103.5,3.94,0
7.76,517.67,2.66,97.51,11.88,2.48,1
6.99,797.42,1.77,313.29,24.09,3.75,1
7.4,633.4,0.87,84.99,104.44,0.13,1
8.34,534.27,2.05,104.58,68.26,0.0,0
6.71,460.43,1.13,539.91,10.89,4.85,1
8.31,47.36,1.82,142.35,91.07,0.41,1
7.55,372.58,0.0,234.86,0.33,2.06,1
7.47,642.01,1.38,137.57,57.85,3.84,1
7.2,546.48,0.66,203.48,38.35,0.07,1
6.62,931.25,2.18,27.96,9.78,5.09,1
7.13,314.6,2.05,288.75,0.0,3.45,1
7.96,876.78,2.12,379.03,2.19,2.16,1
6.63,761.88,2.26,375.5,33.59,0.47,1
7.79,874.04,0.78,399.27,7.61,3.08,1
8.39,874.17,2.25,286.75,75.06,3.8,1
8.48,212.68,1.85,90.55,26.48,1.28,1
8.1,929.04,1.61,424.58,64.63,0.77,1
8.32,457.02,0.99,142.27,97.45,2.7,1
6.78,722.37,0.12,161.63,98.36,4.32,1
8.53,923.81,3.04,293.14,89.87,1.39,1
6.74,603.3,2.98,447.69,68.43,2.24,1
8.31,623.16,2.78,282.67,7.23,4.37,1
8.34,0.0,1.51,329.23,93.14,3.31,1
7.66,521.35,2.74,61.34,72.29,4.11,1
7.94,163.13,2.38,360.86,61.21,3.41,1
6.97,369.67,1.15,172.19,67.77,4.26,1
7.9,352.15,2.48,349.5,26.06,2.6,0
7.27,948.85,2.01,274.94,43.8,3.1,1
6.62,552.18,0.25,368.39,10.64,4.59,1
6.68,793.84,0.39,0.0,91.54,0.9,1
8.19,202.73,1.19,56.48,45.38,2.05,0
8.35,142.09,1.56,144.39,11.21,0.6,1
6.79,880.34,2.12,92.02,100.33,5.02,0
6.47,9.93,1.42,271.39,60.54,1.4,1
6.67,1124.86,2.89,39.5,89.77,2.09,1
6.72,383.91,1.9,14.76,88.61,2.23,1
6.44,352.7,0.36,267.03,68.97,4.64,1
7.74,525.06,1.16,89.04,23.56,1.02,1
7.19,425.37,2.42,442.16,14.13,1.06,1
7.22,466.81,1.79,195.26,0.71,3.82,0
6.87,580.9,0.28,155.7,58.8,2.24,1
7.88,726.29,1.69,281.55,0.0,2.0,1
6.79,362.16,0.65,502.85,33.51,5.19,1
6.95,281.72,1.75,117.36,89.96,0.43,1
7.22,339.31,2.97,95.43,84.25,0.23,1
7.9,259.83,0.26,142.06,80.77,5.99,1
6.8,518.46,2.77,385.49,18.67,4.04,1
8.26,592.28,1.58,461.31,87.28,2.77,1
6.91,699.95,2.65,166.08,6.0,0.78,1
8.42,193.43,2.63,41.16,90.46,4.37,1
7.02,440.59,0.4,133.47,77.36,0.61,1
7.57,728.85,2.0,197.11,86.93,3.08,1
8.19,569.0,2.64,349.24,78.71,1.5,1
7.84,894.87,0.82,388.12,43.39,2.47,1
6.8,696.55,2.09,410.04,36.16,0.0,0
7.12,63.91,0.51,336.15,76.21,2.16,1
8.52,478.76,0.22,160.4,40.28,2.11,1
6.58,881.49,1.36,465.71,27.75,4.95,1
6.91,587.05,0.71,17.82,58.06,1.75,0
8.54,796.82,2.95,24.34,6.96,2.42,1
6.48,1138.96,0.28,42.29,51.16,0.86,1
6.99,554.02,1.34,359.55,14.4,1.43,1
6.92,499.86,1.22,222.43,48.83,1.0,1
7.02,754.25,2.97,360.71,71.92,5.32,1
7.04,442.45,2.6,372.38,98.66,1.2,1
7.62,157.68,1.56,350.51,79.52,2.95,0
7.32,340.48,2.86,188.44,69.17,5.23,1
6.65,492.54,0.77,218.72,79.41,4.91,0
7.96,920.92,1.36,96.05,40.86,4.14,0
8.06,712.38,0.63,257.07,93.96,1.88,1
7.34,233.27,2.87,49.56,15.13,3.9,0
6.8,985.54,1.44,451.83,17.62,2.86,1
8.07,433.2,0.65,391.08,4.24,3.12,1
7.99,48.43,2.39,162.63,50.39,5.06,1
7.14,633.33,1.29,248.71,16.82,0.53,1
8.06,380.94,1.37,231.13,65.09,4.11,1
7.2,171.3,0.14,349.87,9.84,3.07,1
7.72,617.2,2.31,450.79,70.7,2.9,1
6.57,616.97,2.23,110.37,49.06,1.3,1
7.49,914.53,2.46,284.99,70.31,3.56,1
8.21,164.77,0.04,226.32,77.82,0.97,1
8.13,919.66,2.31,481.94,84.7,1.57,1
6.94,812.17,1.13,98.04,61.85,4.36,1
8.26,435.01,2.02,301.4,61.32,5.05,1
7.63,612.35,1.8,113.21,15.22,1.48,1
7.21,560.61,2.59,285.15,41.91,2.02,1
6.88,252.28,2.79,461.93,14.14,3.78,1
8.21,282.02,0.58,419.16,113.23,2.92,1
6.72,807.54,2.52,0.0,89.23,1.47,1
7.88,305.41,0.35,490.19,0.0,2.08,1
8.31,653.09,0.57,264.14,14.46,3.25,1
